word,times_added,times_removed,net_change,absolute_change
wars,10,10,0,20
1957,10,10,0,20
identified,10,10,0,20
regime,10,10,0,20
mix,9,9,0,18
hernán,9,10,-1,19
secular,9,8,1,17
continue,9,12,-3,21
identity,9,9,0,18
percentage,9,9,0,18
ravaged,9,9,0,18
loss,9,9,0,18
conflicts,9,8,1,17
market,9,9,0,18
focuses,9,9,0,18
ancestors,9,9,0,18
meeting,9,10,-1,19
viceroyalty,9,16,-7,25
arawak,9,9,0,18
berkeley,9,9,0,18
taking,9,8,1,17
díaz,9,8,1,17
specific,9,9,0,18
eds,9,11,-2,20
hunting,9,9,0,18
advanced,9,10,-1,19
smaller,9,8,1,17
employer,9,9,0,18
page,9,11,-2,20
refers,9,9,0,18
faustino,9,8,1,17
amazon,9,9,0,18
king,9,7,2,16
variety,9,9,0,18
cases,9,9,0,18
falkland,9,11,-2,20
mestizo,9,9,0,18
issued,9,8,1,17
oxford,9,13,-4,22
paraguay,9,9,0,18
migrants,9,9,0,18
introduction,9,11,-2,20
attempted,9,11,-2,20
mainland,9,10,-1,19
capitalism,9,9,0,18
argued,9,11,-2,20
ca,9,9,0,18
autonomy,9,9,0,18
nature,9,10,-1,19
level,9,10,-1,19
resulted,9,10,-1,19
uncontacted,9,9,0,18
arizona,9,10,-1,19
generation,9,9,0,18
epidemics,9,10,-1,19
citizenship,9,9,0,18
gene,9,9,0,18
argue,9,9,0,18
labour,9,6,3,15
speakers,9,9,0,18
controversial,9,9,0,18
resulting,9,11,-2,20
britain,9,8,1,17
hand,9,8,1,17
geographical,9,10,-1,19
global,9,10,-1,19
working,9,9,0,18
man,9,11,-2,20
independent,9,10,-1,19
education,9,9,0,18
source,9,9,0,18
respective,9,8,1,17
anglo,9,10,-1,19
schools,9,8,1,17
expanded,9,9,0,18
commonly,9,9,0,18
cortés,9,10,-1,19
350,9,9,0,18
currently,9,8,1,17
fact,9,10,-1,19
culturally,9,9,0,18
basin,9,9,0,18
ottoman,9,10,-1,19
association,9,10,-1,19
crops,9,9,0,18
danish,9,11,-2,20
territorial,9,9,0,18
gender,8,7,1,15
monterey,8,8,0,16
determination,8,8,0,16
leif,8,8,0,16
commission,8,8,0,16
death,8,9,-1,17
relatively,8,8,0,16
são,8,8,0,16
peat,8,7,1,15
dictionary,8,9,-1,17
notably,8,9,-1,17
unique,8,8,0,16
dec,8,7,1,15
revolutionary,8,8,0,16
decline,8,9,-1,17
external,8,8,0,16
demographic,8,9,-1,17
sex,8,8,0,16
describes,8,8,0,16
35,8,10,-2,18
remembrance,8,8,0,16
sint,8,8,0,16
yucatán,8,10,-2,18
lives,8,8,0,16
characterized,8,8,0,16
london,8,10,-2,18
famous,8,8,0,16
diversidad,8,8,0,16
gain,8,8,0,16
provide,8,8,0,16
60,8,7,1,15
commercial,8,9,-1,17
tradition,8,9,-1,17
américas,8,8,0,16
royal,8,9,-1,17
olmec,8,8,0,16
mark,8,7,1,15
lenca,8,8,0,16
stock,8,8,0,16
solidarity,8,8,0,16
clovis,8,8,0,16
respeto,8,8,0,16
routes,8,6,2,14
politics,8,9,-1,17
previous,8,8,0,16
afro,8,8,0,16
ended,8,8,0,16
main,8,7,1,15
diego,8,8,0,16
nova,8,8,0,16
glacial,8,8,0,16
legend,8,9,-1,17
highlands,8,8,0,16
formed,8,7,1,15
88,8,10,-2,18
vaccination,8,8,0,16
gathering,8,8,0,16
virgen,8,8,0,16
cape,8,9,-1,17
data,8,8,0,16
similar,8,8,0,16
paleolithic,8,8,0,16
immunity,8,10,-2,18
dane,8,7,1,15
russians,8,8,0,16
child,8,8,0,16
sixteenth,8,6,2,14
guaraní,8,8,0,16
giving,8,8,0,16
2014,8,8,0,16
colonizing,8,12,-4,20
army,8,6,2,14
haplogroups,8,8,0,16
theories,8,7,1,15
xinca,8,8,0,16
